防汛办 ,121.4,31.4,0.880468405,2,93.47%,宝山区
新虹桥花园 ,121.361,31.2014,0.826999558,2,99.89%,闵行区
新场中学 ,121.6447222,31.02472222,0.723332585,2,79.02%,原南汇区
东滩湿地 ,121.95,31.53,0,5,98.20%,崇明区
